184,더블유게임즈,"65,100",200,+0.31%,500,"11,962","18,375",14.07,"171,047",11.16,18.93,
185,한국콜마,"51,800",500,+0.97%,500,"11,852","22,881",27.90,"201,478",37.27,6.39,
186,금호타이어,"4,025",110,+2.81%,"5,000","11,562","287,260",5.24,"652,072",-11.53,-3.30,
187,후성,"12,250",50,+0.41%,500,"11,344","92,607",4.57,"1,894,840",-222.73,3.85,
188,롯데관광개발,"16,350",350,-2.10%,500,"11,327","69,276",4.61,"1,026,577",-24.01,-4.77,
189,롯데칠성,"126,000","7,500",+6.33%,500,"11,309","8,975",10.47,"55,771",-12.92,-11.68,
190,DL,"72,800","8,000",+12.35%,"5,000","11,241","15,441",33.78,"1,240,360",3.85,11.74,
191,아시아나항공,"15,050",50,-0.33%,"5,000","11,199","74,412",20.17,"595,266",-1.30,-90.67,
192,KODEX 코스닥150 레버리지,"16,080",0,0.00%,0,"11,192","69,600",3.11,"17,066,491",N/A,N/A,
193,DGB금융지주,"6,580",40,+0.61%,"5,000","11,130","169,146",47.08,"400,706",3.36,7.31,
194,KG동부제철,"11,000",50,-0.45%,"5,000","11,001","100,009",0.13,"116,840",13.35,-7.44,
195,보령제약,"20,950",200,-0.95%,500,"10,919","52,120",6.90,"1,021,032",37.54,11.96,
196,JB금융지주,"5,460",180,+3.41%,"5,000","10,755","196,983",39.63,"381,530",3.11,10.36,
197,코스맥스,"105,500","2,500",+2.43%,500,"10,602","10,050",24.08,"125,631",26.11,10.45,
198,LG상사,"27,200",650,+2.45%,"5,000","10,543","38,760",22.88,"392,026",7.41,2.49,
199,S&T모티브,"71,600",100,-0.14%,"5,000","10,470","14,623",26.07,"161,736",16.80,0.33,
200,대한전선,"1,220",15,+1.24%,500,"10,449","856,473",2.06,"16,795,103",-67.78,-3.99,
